Iteration,BestFitness,BestParams
1,0.13625778097208952,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(2871.654551392531), 'SOCIAL_FORCE_B': np.float64(0.1), 'VISION_RANGE': np.float64(6.0)}
2,0.1379493501649412,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.1), 'VISION_RANGE': np.float64(6.0)}
3,0.13815343464377022,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(4679.137483469045), 'SOCIAL_FORCE_B': np.float64(0.1), 'VISION_RANGE': np.float64(6.0)}
4,0.13815343464377022,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(4679.137483469045), 'SOCIAL_FORCE_B': np.float64(0.1), 'VISION_RANGE': np.float64(6.0)}
5,0.13824585924457794,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(4792.606865837471), 'SOCIAL_FORCE_B': np.float64(0.1), 'VISION_RANGE': np.float64(6.0)}
6,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
7,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
8,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
9,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
10,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
11,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
12,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
13,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
14,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
15,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
16,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
17,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
18,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
19,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
20,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
21,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
22,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
23,0.14053272652858467,{'DESIRED_FORCE_FACTOR': np.float64(1.9939272287630725), 'SOCIAL_FORCE_A': np.float64(5000.0), 'SOCIAL_FORCE_B': np.float64(0.11045832681166902), 'VISION_RANGE': np.float64(6.0)}
24,0.1430920794884003,{'DESIRED_FORCE_FACTOR': np.float64(1.9990601680284903), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.13138707332673313), 'VISION_RANGE': np.float64(6.0)}
25,0.1430920794884003,{'DESIRED_FORCE_FACTOR': np.float64(1.9990601680284903), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.13138707332673313), 'VISION_RANGE': np.float64(6.0)}
